iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
CRI,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,0,tonnes,annual,2022-09-05 15:48:05.701549,2022-09-15 16:29:30.315219
UGA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.702714,
UGA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.702719,
UGA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.702731,
UGA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.702736,
WSM,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.702848,
WSM,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.702853,
WSM,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.702863,
WSM,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.70287,
AIA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.702978,
AIA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.702983,
AIA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.702995,
AIA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.703001,
FSM,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.703115,
FSM,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.703121,
FSM,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.703131,
FSM,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.703136,
SHN,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.703247,
SHN,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.703252,
SHN,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.703264,
SHN,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.703269,
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.703376,
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.703381,
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.703391,
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.703396,
LSO,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.703513,
LSO,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.703518,
LSO,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.703529,
LSO,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.703534,
GIB,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.703645,
GIB,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.70365,
GIB,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.703662,
GIB,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.703672,
ATF,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.703781,
ATF,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.703787,
ATF,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.703797,
ATF,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.703802,
